,Caso X,D,L,Beta,Velocidad,Angulo,A,B,Q,Reynolds,TotalAreaInlet,P
38,Caso 15,0.055,1.3,0.6,0.20487230409325222,-170,-104650600.86931163,1624073670657.5454,6.417939855100612e-05,-1226.940297506885,0.00031298876267923,45.18518836356249
39,Caso 16,0.055,0.9,1.0,0.21220645780080127,0,-487365757.52171564,7319164587698.336,6.662517245327678e-05,-1272.1476172679347,0.0003136217782787033,24.216531351600448
40,Caso 16,0.055,0.9,1.0,0.20336567516906376,120,58475988.17285678,-948404300183.3467,6.377845066075188e-05,-1219.148425248643,0.0003136218019297123,120.06493305581554
41,Caso 16,0.055,0.9,1.0,0.2052197523745872,-120,421222490.56283617,-6598242757376.481,6.431692793585195e-05,-1229.0210975425762,0.00031298876267923,119.87706900698224
42,Caso 16,0.055,0.9,1.0,0.20514114045963652,-145,-23743287.26731043,347688429197.41266,6.42062005094407e-05,-1228.550306106203,0.00031298876267923,83.55070370971723
43,Caso 16,0.055,0.9,1.0,0.20542390084350923,170,-142736238.52621898,2213199637106.07,6.431616520481458e-05,-1230.2437029323255,0.00031298876267923,31.657841733210475
44,Caso 16,0.055,0.9,1.0,0.20461459991085673,-170,-155062844.74397728,2414403224643.345,6.407794967971253e-05,-1225.3969573876993,0.00031298876267923,31.96792510078492
45,Caso 17,0.055,1.1,1.0,0.21212156998927528,0,-242859392.7496293,3644488307800.6846,6.656670161432576e-05,-1271.638726877477,0.0003136217782787033,31.4769117803956
46,Caso 17,0.055,1.1,1.0,0.20499379454729835,-120,168083794.70311648,-2655077324570.854,6.41864505629737e-05,-1227.667880156435,0.00031298876267923,122.86093098847212
47,Caso 17,0.055,1.1,1.0,0.20546617923943558,145,-170605024.12444395,2634536126056.9907,6.43987163942685e-05,-1230.4969000050367,0.00031298876267923,93.12490497506836
48,Caso 17,0.055,1.1,1.0,0.20528253702997187,-145,486224929.1906149,-7596488742727.624,6.438363134674559e-05,-1229.3971026063034,0.00031298876267923,77.25937968848535
49,Caso 17,0.055,1.1,1.0,0.20510665818079546,170,-127567121.62232548,1979414007434.0254,6.421033448041793e-05,-1228.3437984591726,0.00031298876267923,40.078275702670744
50,Caso 17,0.055,1.1,1.0,0.20487749615208115,-170,-45258508.33020421,695995374219.9445,6.424006876926584e-05,-1226.971391735226,0.00031298876267923,35.59193702481029
51,Caso 18,0.055,1.3,1.0,0.21199976474127677,0,290884184.0467756,-4382188173529.698,6.654966168428567e-05,-1270.9085216913675,0.0003136217782787033,22.34231842459612
52,Caso 18,0.055,1.3,1.0,0.20494430970032784,-120,-294488767.13529193,4566235740217.063,6.419252038259122e-05,-1227.3715250530313,0.00031298876267923,121.55018531064502
